"book_titles"	"author_names"	"description"
"1"	"XML Developer's Guide"	"Gambardella, Matthew"	"An in-depth look at creating applications 
      with XML."
"2"	"Midnight Rain"	"Ralls, Kim"	"A former architect battles corporate zombies, 
      an evil sorceress, and her own childhood to become queen 
      of the world."
"3"	"Maeve Ascendant"	"Corets, Eva"	"After the collapse of a nanotechnology 
      society in England, the young survivors lay the 
      foundation for a new society."
"4"	"Oberon's Legacy"	"Corets, Eva"	"In post-apocalypse England, the mysterious 
      agent known only as Oberon helps to create a new life 
      for the inhabitants of London. Sequel to Maeve 
      Ascendant."
"5"	"The Sundered Grail"	"Corets, Eva"	"The two daughters of Maeve, half-sisters, 
      battle one another for control of England. Sequel to 
      Oberon's Legacy."
"6"	"Lover Birds"	"Randall, Cynthia"	"When Carla meets Paul at an ornithology 
      conference, tempers fly as feathers get ruffled."
"7"	"Splish Splash"	"Thurman, Paula"	"A deep sea diver finds true love twenty 
      thousand leagues beneath the sea."
"8"	"Creepy Crawlies"	"Knorr, Stefan"	"An anthology of horror stories about roaches,
      centipedes, scorpions  and other insects."
"9"	"Paradox Lost"	"Kress, Peter"	"After an inadvertant trip through a Heisenberg
      Uncertainty Device, James Salway discovers the problems 
      of being quantum."
"10"	"Microsoft .NET: The Programming Bible"	"O'Brien, Tim"	"Microsoft's .NET initiative is explored in 
      detail in this deep programmer's reference."
"11"	"MSXML3: A Comprehensive Guide"	"O'Brien, Tim"	"The Microsoft MSXML3 parser is covered in 
      detail, with attention to XML DOM interfaces, XSLT processing, 
      SAX and more."
"12"	"Visual Studio 7: A Comprehensive Guide"	"Galos, Mike"	"Microsoft Visual Studio 7 is explored in depth,
      looking at how Visual Basic, Visual C++, C#, and ASP+ are 
      integrated into a comprehensive development 
      environment."
